,Region,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Cost,Total Revenue,Total Cost,Total Profit,year
0,Central America and the Caribbean,Baby Food,Online,M,20-12-2013,957081544,11-01-2014,552,159.42,140914.56,87999.84,52914.72,2013
1,Central America and the Caribbean,Snacks,Offline,C,05-07-2010,301644504,26-07-2010,2167,97.44,330640.86,211152.48,119488.38,2010
2,Europe,Beverages,Offline,C,12-09-2011,478051030,29-09-2011,4778,31.79,226716.1,151892.62,74823.48,2011
3,Asia,Cereal,Offline,L,13-05-2010,892599952,15-06-2010,9016,117.11,1854591.2,1055863.76,798727.44,2010
4,Asia,Snacks,Offline,C,20-07-2015,571902596,27-07-2015,7542,97.44,1150758.36,734892.48,415865.88,2015
5,Middle East and North Africa,Personal Care,Offline,L,08-11-2010,412882792,22-11-2010,48,56.67,3923.04,2720.16,1202.88,2010
6,Australia and Oceania,Clothes,Offline,H,28-03-2011,932776868,10-05-2011,8258,35.84,902434.24,295966.72,606467.52,2011
7,Europe,Clothes,Online,M,14-10-2013,919133651,04-11-2013,927,35.84,101302.56,33223.68,68078.88,2013
8,Middle East and North Africa,Clothes,Offline,M,27-08-2016,579814469,05-10-2016,8841,35.84,966144.48,316861.44,649283.04,2016
9,Sub-Saharan Africa,Baby Food,Online,M,13-04-2015,192993152,07-05-2015,9817,159.42,2506083.76,1565026.14,941057.62,2015
10,Middle East and North Africa,Office Supplies,Offline,C,25-09-2013,557156026,15-10-2013,3704,524.96,2412081.84,1944451.84,467630,2013
11,Middle East and North Africa,Cosmetics,Online,M,12-05-2013,741101920,17-05-2013,7382,263.33,3227410.4,1943902.06,1283508.34,2013
12,Asia,Cereal,Offline,L,31-07-2016,333942162,25-08-2016,9762,117.11,2008043.4,1143227.82,864815.58,2016
13,Central America and the Caribbean,Cosmetics,Offline,H,06-07-2015,795100581,16-07-2015,6786,263.33,2966839.2,1786957.38,1179881.82,2015
14,Central America and the Caribbean,Baby Food,Online,L,28-11-2010,504313504,03-12-2010,6428,159.42,1640939.84,1024751.76,616188.08,2010
15,Middle East and North Africa,Meat,Offline,H,17-12-2015,611629760,31-01-2016,3693,364.69,1558039.77,1346800.17,211239.6,2015
16,Europe,Cereal,Offline,C,13-08-2014,987410676,06-09-2014,5616,117.11,1155211.2,657689.76,497521.44,2014
17,Europe,Office Supplies,Online,L,31-10-2010,672330081,29-11-2010,6266,524.96,4080481.86,3289399.36,791082.5,2010
18,North America,Beverages,Online,C,13-03-2017,127374303,20-03-2017,1742,31.79,82657.9,55378.18,27279.72,2017
19,Central America and the Caribbean,Baby Food,Offline,C,16-04-2013,783842170,01-06-2013,5172,159.42,1320308.16,824520.24,495787.92,2013
20,Middle East and North Africa,Beverages,Offline,L,18-01-2010,993345010,03-03-2010,1718,31.79,81519.1,54615.22,26903.88,2010
21,Middle East and North Africa,Baby Food,Offline,M,05-09-2015,977806651,14-10-2015,3572,159.42,911860.16,569448.24,342411.92,2015
22,Europe,Fruits,Online,L,28-09-2016,579463422,01-11-2016,4958,6.92,46258.14,34309.36,11948.78,2016
23,Australia and Oceania,Beverages,Offline,L,22-03-2012,610864150,07-04-2012,7132,31.79,338413.4,226726.28,111687.12,2012
24,Middle East and North Africa,Snacks,Offline,L,25-04-2017,604870164,05-06-2017,3378,97.44,515415.24,329152.32,186262.92,2017
25,Central America and the Caribbean,Cereal,Online,H,13-03-2014,164655292,01-05-2014,4015,117.11,825885.5,470196.65,355688.85,2014
26,Europe,Fruits,Offline,L,29-05-2016,313705861,10-07-2016,1390,6.92,12968.7,9618.8,3349.9,2016
27,Central America and the Caribbean,Office Supplies,Online,M,17-01-2012,345820701,01-02-2012,4885,524.96,3181160.85,2564429.6,616731.25,2012
